
########################################################################################
# ebrains: 4 jobs
########################################################################################
[1/4] ebrains__104638-Wheel-HeadFixed__Wheel-HeadFixed     overlap  7/13  p=0.0000 SEQ | INDEP  3/5  p=0.0012 SEQ [28s]
[13/20] 000053__sub-npJ2-sub-npJ2-ses-20190511-behavior-ecep overlap  0/23  p=1.0000 no  | INDEP  0/8  p=1.0000 no  [11s]
[14/20] 000053__sub-npJ2-sub-npJ2-ses-20190512-behavior-ecep overlap  1/43  p=0.8898 no  | INDEP  0/15 p=1.0000 no  [31s]
[15/20] 000053__sub-npJ3-sub-npJ3-ses-20190504-behavior-ecep overlap  2/24  p=0.3392 no  | INDEP  1/8  p=0.3366 no  [19s]
[16/20] 000053__sub-npJ3-sub-npJ3-ses-20190506-behavior-ecep overlap  0/22  p=1.0000 no  | INDEP  0/8  p=1.0000 no  [13s]
[17/20] 000053__sub-npJ4-sub-npJ4-ses-20190511-behavior-ecep overlap  0/23  p=1.0000 no  | INDEP  0/8  p=1.0000 no  [12s]
[18/20] 000053__sub-npJ4-sub-npJ4-ses-20190512-behavior-ecep overlap  0/37  p=1.0000 no  | INDEP  0/13 p=1.0000 no  [25s]
[19/20] 000053__sub-npJ5-sub-npJ5-ses-20190505-obj-10plzqh-b overlap  0/18  p=1.0000 no  | INDEP  0/6  p=1.0000 no  [38s]
[20/20] 000053__sub-npJ5-sub-npJ5-ses-20190505-obj-1ti12l8-b overlap  0/33  p=1.0000 no  | INDEP  0/11 p=1.0000 no  [62s]

########################################################################################
# 000897: 15 jobs
########################################################################################
[1/15] 000897__sub-amadeus-sub-amadeus-ses-08152019-behavio overlap 18/189 p=0.0070 SEQ | INDEP  4/63 p=0.3872 no  [11s]
[2/15] 000897__sub-amadeus-sub-amadeus-ses-08212019-behavio overlap 10/166 p=0.3189 no  | INDEP  4/56 p=0.3069 no  [8s]
